start;end;sleep_quality;regularity;mood;heart_rate_bpm;steps;alarm_mode;air_pressure_pa;city;movements_per_hour;time_in_bed_seconds;time_asleep_seconds;time_before_sleep_seconds;window_start;window_stop;did_snore;snore_time;weather_temperature_c;weather_type;notes
2017-07-31T03:12:49Z;2017-07-31T10:49:47Z;79%;69%;Bom;51;3264;Normal;NA;Rio de Janeiro;102.3;27417.4;0.0;0.0;2017-07-31T10:35:00Z;2017-07-31T10:50:00Z;TRUE;0.0;22.7;Sunny;NA
2017-08-01T02:53:56Z;2017-08-01T11:06:27Z;75%;79%;Bom;64;8876;Normal;NA;Rio de Janeiro;147.7;29550.7;0.0;0.0;2017-08-01T10:55:00Z;2017-08-01T11:10:00Z;TRUE;0.0;22.9;Sunny;NA
2017-08-02T00:53:38Z;2017-08-02T09:33:26Z;83%;76%;Bom;58;4506;Normal;NA;Rio de Janeiro;132.7;31189.0;0.0;0.0;2017-08-02T09:25:00Z;2017-08-02T09:40:00Z;TRUE;0.0;0.0;No weather;NA
2017-08-03T03:46:25Z;2017-08-03T11:02:44Z;76%;76%;Bom;0;7559;Normal;NA;Rio de Janeiro;100.8;26179.6;0.0;0.0;2017-08-03T10:50:00Z;2017-08-03T11:05:00Z;TRUE;0.0;25.4;Sunny;NA
2017-08-04T00:43:07Z;2017-08-04T09:41:05Z;81%;66%;Bom;54;5301;Normal;NA;Rio de Janeiro;153.4;32277.4;0.0;0.0;2017-08-04T10:05:00Z;2017-08-04T10:20:00Z;TRUE;258.0;20.8;Partly cloudy;NA
2017-08-07T02:44:36Z;2017-08-07T10:56:30Z;85%;73%;Bom;63;7545;Normal;NA;Rio de Janeiro;104.6;29514.3;0.0;0.0;2017-08-07T10:45:00Z;2017-08-07T11:00:00Z;TRUE;167.0;20.7;Sunny;NA
2017-08-08T04:17:44Z;2017-08-08T11:00:22Z;76%;87%;Bom;48;5575;Normal;NA;Rio de Janeiro;70.1;24158.5;0.0;0.0;2017-08-08T10:45:00Z;2017-08-08T11:00:00Z;TRUE;0.0;22.7;Partly cloudy;NA
2017-08-09T03:53:10Z;2017-08-09T09:30:42Z;66%;85%;Bom;53;6834;Normal;NA;Rio de Janeiro;49.7;20252.4;0.0;0.0;2017-08-09T09:15:00Z;2017-08-09T09:30:00Z;TRUE;76.0;23.9;Sunny;NA
2017-08-10T02:26:24Z;2017-08-10T10:55:46Z;81%;82%;Bom;0;7871;Normal;NA;Rio de Janeiro;132.5;30561.3;0.0;0.0;2017-08-10T10:45:00Z;2017-08-10T11:00:00Z;TRUE;0.0;21.1;Partly cloudy;NA
2017-08-11T01:35:07Z;2017-08-11T09:43:41Z;72%;81%;Bom;0;4826;Normal;NA;Rio de Janeiro;162.1;29314.5;0.0;0.0;2017-08-11T10:40:00Z;2017-08-11T10:55:00Z;TRUE;0.0;0.0;No weather;NA
2017-08-12T03:10:13Z;2017-08-12T11:55:32Z;87%;76%;Bom;59;7198;Normal;NA;Rio de Janeiro;119.2;31518.7;0.0;0.0;2017-08-12T11:45:00Z;2017-08-12T12:00:00Z;TRUE;0.0;21.7;Partly cloudy;NA
2017-08-13T04:28:55Z;2017-08-13T12:28:43Z;86%;79%;Bom;68;7475;Normal;NA;Rio de Janeiro;90.4;28788.0;0.0;0.0;2017-08-13T12:15:00Z;2017-08-13T12:30:00Z;TRUE;0.0;23.7;Partly cloudy;NA
2017-08-14T03:01:47Z;2017-08-14T08:23:45Z;56%;69%;Bom;0;659;Normal;NA;Rio de Janeiro;100.9;19318.1;0.0;0.0;2017-08-14T10:45:00Z;2017-08-14T11:00:00Z;TRUE;0.0;0.0;No weather;NA
2017-08-15T02:25:45Z;2017-08-15T10:27:36Z;71%;72%;Bom;54;4627;Normal;0.0;Rio de Janeiro;58.6;28911.0;24670.7;578.2;2017-08-15T10:25:00Z;2017-08-15T10:40:00Z;FALSE;0.0;21.4;Cloudy;NA
2017-08-16T03:17:38Z;2017-08-16T10:45:23Z;91%;74%;Bom;56;6511;Normal;0.0;Rio de Janeiro;7.3;26865.2;22029.4;1880.6;2017-08-16T10:35:00Z;2017-08-16T10:50:00Z;FALSE;0.0;21.6;Partly cloudy;NA
2017-08-17T03:51:40Z;2017-08-17T11:09:52Z;90%;87%;Bom;58;4860;Normal;0.0;Rio de Janeiro;4.0;26291.4;22435.3;525.8;2017-08-17T10:55:00Z;2017-08-17T11:10:00Z;FALSE;0.0;20.7;Rain;NA
2017-08-18T04:23:37Z;2017-08-18T11:09:51Z;63%;93%;NA;0;5501;Normal;NA;Rio de Janeiro;146.9;24374.1;0.0;0.0;2017-08-18T10:55:00Z;2017-08-18T11:10:00Z;TRUE;0.0;20.6;Rain;NA
2017-08-21T04:08:51Z;2017-08-21T11:19:40Z;64%;97%;Bom;54;1147;Normal;NA;Rio de Janeiro;165.7;25848.7;0.0;0.0;2017-08-21T11:05:00Z;2017-08-21T11:20:00Z;TRUE;0.0;19.3;Rain;NA
2017-08-22T03:36:12Z;2017-08-22T11:15:28Z;75%;95%;Bom;81;5622;Normal;0.0;Rio de Janeiro;43.5;27555.1;25534.4;551.1;2017-08-22T11:00:00Z;2017-08-22T11:15:00Z;FALSE;0.0;20.1;Cloudy;NA
2017-08-23T01:45:49Z;2017-08-23T07:24:49Z;65%;74%;Bom;52;3998;Normal;0.0;Rio de Janeiro;16.4;20340.7;17628.6;2712.1;2017-08-23T07:10:00Z;2017-08-23T07:25:00Z;FALSE;0.0;18.6;Cloudy;NA
2017-08-26T03:22:13Z;2017-08-26T14:48:01Z;85%;25%;Bom;48;6633;No alarm;NA;Rio de Janeiro;145.8;41148.8;0.0;0.0;NA;NA;TRUE;0.0;0.0;No weather;NA
2017-08-28T01:35:41Z;2017-08-28T07:25:06Z;68%;24%;Bom;46;994;Normal;NA;Rio de Janeiro;56.5;20965.1;0.0;0.0;2017-08-28T07:10:00Z;2017-08-28T07:25:00Z;TRUE;0.0;17.5;Partly cloudy;NA
2017-08-29T03:33:43Z;2017-08-29T07:30:47Z;48%;53%;Bom;54;5163;Normal;NA;Rio de Janeiro;36.3;14223.3;0.0;0.0;2017-08-29T07:35:00Z;2017-08-29T07:50:00Z;TRUE;0.0;18.0;Partly cloudy;NA
2017-08-30T01:46:13Z;2017-08-30T07:34:37Z;70%;84%;Bom;45;6247;Normal;NA;Rio de Janeiro;38.1;20903.9;0.0;0.0;2017-08-30T07:20:00Z;2017-08-30T07:35:00Z;TRUE;0.0;19.9;Sunny;NA
2017-08-30T07:52:00Z;2017-08-30T11:10:10Z;32%;0%;Bom;95;0;Normal;NA;Rio de Janeiro;132.6;11890.6;0.0;0.0;2017-08-30T10:55:00Z;2017-08-30T11:10:00Z;TRUE;62.0;24.5;Sunny;NA
2017-08-31T01:10:17Z;2017-08-31T07:40:22Z;78%;87%;Bom;50;4487;Normal;NA;Rio de Janeiro;39.1;23405.0;0.0;0.0;2017-08-31T07:25:00Z;2017-08-31T07:40:00Z;TRUE;168.0;20.7;Rain;NA
2017-08-31T08:05:38Z;2017-08-31T11:10:09Z;33%;0%;Bom;72;0;Normal;NA;Rio de Janeiro;88.4;11070.9;0.0;0.0;2017-08-31T10:55:00Z;2017-08-31T11:10:00Z;TRUE;0.0;21.5;Rain;NA
2017-09-01T04:27:42Z;2017-09-01T11:30:39Z;68%;73%;Bom;62;4068;Normal;NA;Rio de Janeiro;133.1;25376.9;0.0;0.0;2017-09-01T11:15:00Z;2017-09-01T11:30:00Z;TRUE;0.0;20.6;Cloudy;NA
2017-09-04T02:02:10Z;2017-09-04T10:59:44Z;100%;75%;Bom;50;6933;Normal;NA;Rio de Janeiro;69.0;32254.3;0.0;0.0;2017-09-04T10:45:00Z;2017-09-04T11:00:00Z;TRUE;0.0;22.1;Sunny;NA
2017-09-05T01:27:12Z;2017-09-05T07:29:58Z;71%;66%;Bom;48;8391;Normal;NA;Rio de Janeiro;46.0;21766.3;0.0;0.0;2017-09-05T07:15:00Z;2017-09-05T07:30:00Z;TRUE;0.0;20.3;Sunny;NA
2017-09-06T01:33:16Z;2017-09-06T07:29:25Z;72%;83%;Bom;0;5776;Normal;NA;Rio de Janeiro;30.8;21369.1;0.0;0.0;2017-09-06T07:15:00Z;2017-09-06T07:30:00Z;TRUE;0.0;19.3;Sunny;NA
2017-09-08T02:13:49Z;2017-09-08T10:04:45Z;82%;86%;Bom;66;1355;Normal;NA;Rio de Janeiro;97.1;28256.5;0.0;0.0;2017-09-08T09:50:00Z;2017-09-08T10:05:00Z;TRUE;0.0;21.6;Sunny;NA
2017-09-11T01:49:31Z;2017-09-11T09:19:49Z;83%;90%;Bom;43;6238;Normal;NA;Rio de Janeiro;76.1;27017.2;0.0;0.0;2017-09-11T09:05:00Z;2017-09-11T09:20:00Z;TRUE;0.0;23.1;Sunny;NA
2017-09-12T02:12:18Z;2017-09-12T07:50:31Z;66%;84%;Bom;42;6223;Normal;NA;Rio de Janeiro;46.0;20292.9;0.0;0.0;2017-09-12T07:35:00Z;2017-09-12T07:50:00Z;TRUE;0.0;21.3;Partly cloudy;NA
2017-09-13T01:46:26Z;2017-09-13T07:09:48Z;65%;88%;Bom;44;5112;Normal;NA;Rio de Janeiro;27.6;19401.8;0.0;0.0;2017-09-13T06:55:00Z;2017-09-13T07:10:00Z;TRUE;0.0;19.8;Sunny;NA
2017-09-14T02:31:46Z;2017-09-14T07:44:40Z;61%;88%;Bom;45;7504;Normal;NA;Rio de Janeiro;47.3;18774.5;0.0;0.0;2017-09-14T07:30:00Z;2017-09-14T07:45:00Z;TRUE;0.0;21.6;Sunny;NA
2017-09-15T01:50:19Z;2017-09-15T09:25:30Z;70%;87%;Bom;0;5640;Normal;NA;Rio de Janeiro;144.8;27311.5;0.0;0.0;2017-09-15T09:15:00Z;2017-09-15T09:30:00Z;TRUE;0.0;24.6;Sunny;NA
2017-09-18T02:52:24Z;2017-09-18T09:03:50Z;71%;88%;NA;0;1998;Normal;NA;Rio de Janeiro;52.8;22286.1;0.0;0.0;2017-09-18T08:50:00Z;2017-09-18T09:05:00Z;TRUE;0.0;21.4;Sunny;NA
2017-09-19T01:13:42Z;2017-09-19T07:02:27Z;67%;69%;Bom;42;5296;Normal;NA;Rio de Janeiro;47.4;20924.8;0.0;0.0;2017-09-19T06:50:00Z;2017-09-19T07:05:00Z;TRUE;0.0;19.6;Partly cloudy;NA
2017-09-20T01:23:04Z;2017-09-20T07:40:25Z;76%;81%;Bom;45;6152;Normal;NA;Rio de Janeiro;23.0;22640.9;0.0;0.0;2017-09-20T07:25:00Z;2017-09-20T07:40:00Z;TRUE;0.0;21.0;Sunny;NA
2017-09-21T01:51:01Z;2017-09-21T07:50:11Z;70%;86%;Bom;48;7167;Normal;NA;Rio de Janeiro;40.5;21550.7;0.0;0.0;2017-09-21T07:35:00Z;2017-09-21T07:50:00Z;TRUE;0.0;20.9;Sunny;NA
2017-09-22T02:57:57Z;2017-09-22T07:28:50Z;47%;92%;Bom;0;4934;Normal;NA;Rio de Janeiro;92.9;16253.3;0.0;0.0;2017-09-22T08:45:00Z;2017-09-22T09:00:00Z;TRUE;0.0;0.0;No weather;NA
